COUNTY,MCD_NAME,MCD_ID,YEAR,POPULATION_ESTIMATE,TOTAL_KSI_RATE,PEDESTRIAN_KSI_RATE,BICYCLIST_KSI_RATE,TOTAL_KSI_RATE_5YR,PEDESTRIAN_KSI_RATE_5YR,BICYCLIST_KSI_RATE_5YR
Delaware County,Lower Chichester Township,4204544888,2020,3473,777.4,28.8,0.0,535.4,11.5,5.8
Delaware County,Marcus Hook Borough,4204547344,2020,2402,458.0,0.0,0.0,449.7,66.6,0.0
Delaware County,Marple Township,4204547616,2020,23888,573.5,4.2,0.0,587.9,11.7,0.8
Delaware County,Media Borough,4204548480,2020,5670,211.6,70.5,17.6,508.6,78.8,10.7
Delaware County,Middletown Township,4204549136,2020,16036,467.7,6.2,12.5,742.5,16.2,7.5
Delaware County,Millbourne Borough,4204549504,2020,1160,258.6,0.0,86.2,259.6,34.6,17.3
Delaware County,Morton Borough,4204551176,2020,2670,74.9,0.0,0.0,494.6,45.0,15.0
Delaware County,Nether Providence Township,4204553104,2020,13762,181.7,7.3,7.3,384.8,4.4,2.9
Delaware County,Newtown Township,4204554224,2020,14049,213.5,0.0,0.0,444.3,7.4,0.0
Delaware County,Norwood Borough,4204555664,2020,5897,220.5,0.0,0.0,234.0,17.0,3.4
Delaware County,Parkside Borough,4204558176,2020,2330,171.7,0.0,0.0,111.8,8.6,0.0
Delaware County,Prospect Park Borough,4204562792,2020,6477,447.7,15.4,0.0,271.0,6.2,0.0
